CMDLINE /usr/local/bin/python3 diffusion.py
FUNC __main__.evolve 103.4688 1737501798.2394 103.4688 1737501798.3048 1
FUNC __main__.evolve 103.4688 1737501798.3067 103.4688 1737501798.3728 1
FUNC __main__.evolve 103.4688 1737501798.3747 103.4688 1737501798.4399 1
FUNC __main__.evolve 103.4688 1737501798.4417 103.4688 1737501798.5071 1
FUNC __main__.evolve 103.4688 1737501798.5089 103.4688 1737501798.5749 1
FUNC __main__.evolve 103.4688 1737501798.5769 103.4688 1737501798.6424 1
FUNC __main__.evolve 103.4688 1737501798.6442 103.4688 1737501798.7092 1
FUNC __main__.evolve 103.4688 1737501798.7110 103.4688 1737501798.7763 1
FUNC __main__.evolve 103.4688 1737501798.7781 103.4688 1737501798.8434 1
FUNC __main__.evolve 103.4688 1737501798.8452 103.4688 1737501798.9106 1
FUNC __main__.evolve 103.4688 1737501798.9124 103.4688 1737501798.9775 1
FUNC __main__.evolve 103.4688 1737501798.9792 103.4688 1737501799.0446 1
FUNC __main__.evolve 103.4688 1737501799.0463 103.4688 1737501799.1117 1
FUNC __main__.evolve 103.4688 1737501799.1135 103.4688 1737501799.1793 1
FUNC __main__.evolve 103.4688 1737501799.1813 103.4688 1737501799.2463 1
FUNC __main__.evolve 103.4688 1737501799.2482 103.4688 1737501799.3135 1
FUNC __main__.evolve 103.4688 1737501799.3153 103.4688 1737501799.3802 1
FUNC __main__.evolve 103.4688 1737501799.3821 103.4688 1737501799.4469 1
FUNC __main__.evolve 103.4688 1737501799.4487 103.4688 1737501799.5141 1
FUNC __main__.evolve 103.4688 1737501799.5159 103.4688 1737501799.5811 1
FUNC __main__.evolve 103.4688 1737501799.5829 103.4688 1737501799.6480 1
FUNC __main__.evolve 103.4688 1737501799.6498 103.4688 1737501799.7150 1
FUNC __main__.evolve 103.4688 1737501799.7167 103.4688 1737501799.7814 1
FUNC __main__.evolve 103.4688 1737501799.7832 103.4844 1737501799.8486 1
FUNC __main__.evolve 103.4844 1737501799.8504 103.4844 1737501799.9152 1
FUNC __main__.evolve 103.4844 1737501799.9169 103.4844 1737501799.9821 1
FUNC __main__.evolve 103.4844 1737501799.9838 103.4844 1737501800.0489 1
FUNC __main__.evolve 103.4844 1737501800.0506 103.4844 1737501800.1159 1
FUNC __main__.evolve 103.4844 1737501800.1177 103.4844 1737501800.1830 1
FUNC __main__.evolve 103.4844 1737501800.1850 103.4844 1737501800.2502 1
FUNC __main__.evolve 103.4844 1737501800.2521 103.4844 1737501800.3169 1
FUNC __main__.evolve 103.4844 1737501800.3188 103.4844 1737501800.3873 1
FUNC __main__.evolve 103.4844 1737501800.3893 106.4531 1737501800.4543 1
FUNC __main__.evolve 106.4531 1737501800.4562 109.5938 1737501800.5216 1
FUNC __main__.evolve 109.5938 1737501800.5234 109.6094 1737501800.5886 1
FUNC __main__.evolve 109.6094 1737501800.5904 109.6094 1737501800.6556 1
FUNC __main__.evolve 109.6094 1737501800.6573 109.6094 1737501800.7225 1
FUNC __main__.evolve 109.6094 1737501800.7244 109.6094 1737501800.7897 1
FUNC __main__.evolve 109.6094 1737501800.7915 109.6094 1737501800.8568 1
FUNC __main__.evolve 109.6094 1737501800.8586 109.6094 1737501800.9242 1
FUNC __main__.evolve 109.6094 1737501800.9260 109.6094 1737501800.9910 1
FUNC __main__.evolve 109.6094 1737501800.9928 109.6094 1737501801.0584 1
FUNC __main__.evolve 109.6094 1737501801.0602 109.6094 1737501801.1255 1
FUNC __main__.evolve 109.6094 1737501801.1274 109.6094 1737501801.1928 1
FUNC __main__.evolve 109.6094 1737501801.1946 109.6094 1737501801.2599 1
FUNC __main__.evolve 109.6094 1737501801.2618 109.6094 1737501801.3272 1
FUNC __main__.evolve 109.6094 1737501801.3290 109.6094 1737501801.3948 1
FUNC __main__.evolve 109.6094 1737501801.3967 109.6094 1737501801.4620 1
FUNC __main__.evolve 109.6094 1737501801.4638 109.6094 1737501801.5291 1
